click_id,is_attributed
0,0.09063664
1,0.08674491
2,0.073741205
3,0.052393142
4,0.06331265
5,0.07117087
6,0.06986091
7,0.059193503
9,0.18195543
8,0.0963338
10,0.06885789
11,0.10354662
12,0.050547928
13,0.06748854
14,0.06349533
15,0.11101009
16,0.18509308
20,0.09954913
19,0.06348075
17,0.07267233
18,0.07638644
21,0.079387985
22,0.06993261
23,0.07206835
24,0.1368995
25,0.07506913
26,0.06371286
27,0.1171543
28,0.06023521
29,0.056375116
30,0.11198131
31,0.084805846
32,0.054639015
33,0.07014872
34,0.083369866
35,0.058243673
36,0.08026194
37,0.053853825
38,0.06613139
39,0.12938112
40,0.08599536
41,0.08788418
42,0.054138068
43,0.068583354
44,0.18337886
45,0.096936114
46,0.06743008
47,0.07234022
48,0.073609196
49,0.08702667
50,0.06452227
51,0.054326024
53,0.06741089
52,0.06312204
54,0.06599403
55,0.089943394
56,0.10999887
57,0.06518643
58,0.06884284
59,0.064104624
60,0.05594682
61,0.060867183
62,0.078948565
63,0.07624219
64,0.17068233
65,0.06625637
66,0.05077986
67,0.064982824
68,0.06765949
69,0.060432214
71,0.06265333
70,0.073341176
72,0.075447395
73,0.079928115
74,0.06431332
75,0.06912302
76,0.09994325
77,0.11014708
78,0.14678532
79,0.085767366
80,0.07832933
81,0.057872355
82,0.06498755
83,0.08811343
84,0.062200323
85,0.081941396
86,0.052963044
87,0.1268026
88,0.0674777
89,0.06820251
90,0.051061947
91,0.07488932
92,0.08403883
93,0.10124247
94,0.07995164
95,0.0916219
96,0.07633943
97,0.08871777
98,0.07166075
99,0.06361545
100,0.0639581
101,0.06466554
102,0.07255308
103,0.071126685
104,0.080577224
105,0.06506192
106,0.07433774
107,0.09538591
108,0.111064635
109,0.081099026
110,0.06330915
111,0.0818305
112,0.089442305
113,0.07550814
114,0.10878688
115,0.057799634
116,0.09871598
117,0.082279705
118,0.10951165
119,0.14509267
120,0.078746304
121,0.06314243
122,0.09184732
123,0.07101067
124,0.100763336
125,0.1550731
126,0.060143627
127,0.07220002
128,0.09172941
129,0.06588491
130,0.08900064
131,0.069761194
132,0.10949472
133,0.10665217
134,0.057967022
135,0.10175434
136,0.09195817
137,0.08960804
138,0.06446372
139,0.071557276
140,0.06873789
141,0.10180544
142,0.06284506
143,0.057893608
144,0.07502471
145,0.07718146
146,0.084541775
147,0.07774851
148,0.055882517
149,0.07318592
154,0.1258556
153,0.09422489
150,0.06536369
151,0.059213877
